date,change_in_mobility,state_id,country
2020-02-05,4.73,BY,Germany
2020-02-06,4.21,BY,Germany
2020-02-07,6.0,BY,Germany
2020-02-08,6.93,BY,Germany
2020-02-09,9.0,BY,Germany
2020-02-10,-14.64,BY,Germany
2020-02-11,5.23,BY,Germany
2020-02-12,4.74,BY,Germany
2020-02-13,4.9,BY,Germany
2020-02-14,7.12,BY,Germany
2020-02-15,8.78,BY,Germany
2020-02-16,10.49,BY,Germany
2020-02-17,6.56,BY,Germany
2020-02-18,8.14,BY,Germany
2020-02-19,5.85,BY,Germany
2020-02-20,6.98,BY,Germany
2020-02-21,7.72,BY,Germany
2020-02-22,7.83,BY,Germany
2020-02-23,2.54,BY,Germany
2020-02-24,-4.07,BY,Germany
2020-02-25,-6.1,BY,Germany
2020-02-26,-5.32,BY,Germany
2020-02-27,-4.94,BY,Germany
2020-02-28,-3.77,BY,Germany
2020-02-29,0.69,BY,Germany
2020-03-01,-2.34,BY,Germany
2020-03-02,2.98,BY,Germany
2020-03-03,1.44,BY,Germany
2020-03-04,1.85,BY,Germany
2020-03-05,1.25,BY,Germany
2020-03-06,0.38,BY,Germany
2020-03-07,-3.26,BY,Germany
2020-03-08,2.43,BY,Germany
2020-03-09,3.4,BY,Germany
2020-03-10,-2.22,BY,Germany
2020-03-11,-1.42,BY,Germany
2020-03-12,0.44,BY,Germany
2020-03-13,-1.96,BY,Germany
2020-03-14,-12.34,BY,Germany
2020-03-15,-8.85,BY,Germany
2020-03-16,-7.42,BY,Germany
2020-03-17,-19.14,BY,Germany
2020-03-18,-23.42,BY,Germany
2020-03-19,-26.41,BY,Germany
2020-03-20,-27.7,BY,Germany
2020-03-21,-63.89,BY,Germany
2020-03-22,-60.49,BY,Germany
2020-03-23,-39.96,BY,Germany
2020-03-24,-41.58,BY,Germany
2020-03-25,-43.21,BY,Germany
2020-03-26,-43.85,BY,Germany
2020-03-27,-42.18,BY,Germany
2020-03-28,-45.67,BY,Germany
2020-03-29,-61.92,BY,Germany
2020-03-30,-39.8,BY,Germany
2020-03-31,-40.65,BY,Germany
2020-04-01,-39.88,BY,Germany
2020-04-02,-37.47,BY,Germany
2020-04-03,-39.87,BY,Germany
2020-04-04,-45.04,BY,Germany
2020-04-05,-45.78,BY,Germany
2020-04-06,-34.75,BY,Germany
2020-04-07,-37.79,BY,Germany
2020-04-08,-35.08,BY,Germany
2020-04-09,-33.64,BY,Germany
2020-04-10,-42.96,BY,Germany
2020-04-11,-37.31,BY,Germany
2020-04-12,-41.53,BY,Germany
2020-04-13,-52.74,BY,Germany
2020-04-14,-38.05,BY,Germany
2020-04-15,-34.08,BY,Germany
2020-04-16,-31.25,BY,Germany
2020-04-17,-31.22,BY,Germany
2020-04-18,-37.95,BY,Germany
2020-04-19,-41.23,BY,Germany
2020-04-20,-28.25,BY,Germany
2020-04-21,-29.17,BY,Germany
2020-04-22,-25.75,BY,Germany
2020-04-23,-25.67,BY,Germany
2020-04-24,-26.77,BY,Germany
2020-04-25,-29.5,BY,Germany
2020-04-26,-29.19,BY,Germany
2020-04-27,-22.73,BY,Germany
2020-04-28,-26.17,BY,Germany
2020-04-29,-26.08,BY,Germany
2020-04-30,-21.46,BY,Germany
2020-05-01,-44.75,BY,Germany
2020-05-02,-30.69,BY,Germany
2020-05-03,-32.72,BY,Germany
2020-05-04,-23.7,BY,Germany
2020-05-05,-22.12,BY,Germany
2020-05-06,-20.83,BY,Germany
2020-05-07,-19.26,BY,Germany
2020-05-08,-19.6,BY,Germany
2020-05-09,-20.08,BY,Germany
2020-05-10,-20.41,BY,Germany
2020-05-11,-23.45,BY,Germany
2020-05-12,-17.31,BY,Germany
2020-05-13,-22.27,BY,Germany
2020-05-14,-19.51,BY,Germany
2020-05-15,-20.25,BY,Germany
2020-05-16,-15.65,BY,Germany
2020-05-17,-12.64,BY,Germany
2020-05-18,-8.99,BY,Germany
2020-05-19,-9.06,BY,Germany
2020-05-20,-8.4,BY,Germany
2020-05-21,-10.84,BY,Germany
2020-05-22,-16.18,BY,Germany
2020-05-23,-24.49,BY,Germany
2020-05-24,-19.72,BY,Germany
2020-05-25,-13.24,BY,Germany
2020-05-26,-10.74,BY,Germany
2020-05-27,-9.44,BY,Germany
2020-05-28,-12.45,BY,Germany
2020-05-29,-10.6,BY,Germany
2020-05-30,-8.8,BY,Germany
2020-05-31,-6.7,BY,Germany
2020-06-01,8.92,BY,Germany
2020-06-02,-8.33,BY,Germany
2020-06-03,-10.63,BY,Germany
2020-06-04,-18.69,BY,Germany
2020-06-05,-16.05,BY,Germany
2020-06-06,-17.74,BY,Germany
2020-06-07,-34.53,BY,Germany
2020-06-08,-14.3,BY,Germany
2020-06-09,-17.47,BY,Germany
2020-06-10,-13.89,BY,Germany
2020-06-11,-6.37,BY,Germany
2020-06-12,-5.8,BY,Germany
2020-06-13,-3.4,BY,Germany
2020-06-14,-33.33,BY,Germany
2020-06-15,-14.93,BY,Germany
2020-06-16,-8.67,BY,Germany
2020-06-17,-10.38,BY,Germany
2020-06-18,-8.2,BY,Germany
2020-06-19,-8.03,BY,Germany
2020-06-20,-11.62,BY,Germany
2020-06-21,-8.21,BY,Germany
2020-06-22,-7.49,BY,Germany
2020-06-23,-1.91,BY,Germany
2020-06-24,-1.6,BY,Germany
2020-06-25,-8.61,BY,Germany
2020-06-26,-4.78,BY,Germany
2020-06-27,-3.15,BY,Germany
2020-06-28,-7.83,BY,Germany
2020-06-29,-7.99,BY,Germany
2020-06-30,-1.71,BY,Germany
2020-07-01,1.44,BY,Germany
2020-07-02,-4.65,BY,Germany
2020-07-03,-3.06,BY,Germany
